,strp_timestamp,Response type,BIS RP,DEFRA RP,DVLA F2D RENEW,DVLA F2D REPORT,DVLA VDL,DWP UCDS,HMRC CC,HMRC FF,HMRC PTA,HMRC SA,HMRC TE,HMRC YSP
191,2017-01-28,RETURNING,30.0,12.0,4.0,5.0,41.0,28.0,47.0,7.0,829.0,13999.0,28.0,127.0
192,2017-01-29,NEW,58.0,1.0,42.0,20.0,101.0,120.0,5.0,9.0,245.0,5478.0,18.0,196.0
193,2017-01-29,RETURNING,32.0,17.0,3.0,1.0,48.0,46.0,47.0,7.0,1145.0,22660.0,35.0,134.0
194,2017-01-30,NEW,80.0,4.0,23.0,27.0,119.0,294.0,11.0,5.0,329.0,8167.0,32.0,292.0
195,2017-01-30,RETURNING,71.0,64.0,1.0,2.0,67.0,129.0,100.0,7.0,1555.0,38791.0,73.0,250.0
196,2017-01-31,NEW,123.0,10.0,35.0,29.0,128.0,235.0,8.0,8.0,389.0,8735.0,41.0,65.0
197,2017-01-31,RETURNING,80.0,53.0,5.0,8.0,80.0,98.0,127.0,6.0,1748.0,42377.0,66.0,42.0
198,2017-02-01,NEW,164.0,13.0,45.0,44.0,129.0,266.0,17.0,2.0,233.0,981.0,34.0,344.0
199,2017-02-01,RETURNING,85.0,61.0,3.0,2.0,71.0,80.0,41.0,7.0,695.0,6103.0,54.0,218.0
200,2017-02-02,NEW,139.0,10.0,37.0,41.0,158.0,291.0,22.0,0.0,228.0,557.0,43.0,367.0
201,2017-02-02,RETURNING,76.0,71.0,9.0,19.0,87.0,108.0,37.0,3.0,546.0,3191.0,44.0,217.0
202,2017-02-03,NEW,212.0,24.0,52.0,96.0,244.0,470.0,32.0,10.0,404.0,874.0,54.0,576.0
203,2017-02-03,RETURNING,104.0,86.0,14.0,10.0,130.0,184.0,52.0,6.0,1038.0,5138.0,68.0,338.0
204,2017-02-04,NEW,102.0,6.0,64.0,48.0,134.0,196.0,18.0,4.0,192.0,542.0,28.0,500.0
205,2017-02-04,RETURNING,60.0,26.0,4.0,2.0,118.0,82.0,22.0,6.0,528.0,2910.0,54.0,262.0
206,2017-02-05,NEW,116.0,14.0,74.0,50.0,180.0,222.0,6.0,8.0,208.0,608.0,26.0,588.0
207,2017-02-05,RETURNING,56.0,42.0,12.0,8.0,74.0,76.0,18.0,8.0,414.0,2912.0,38.0,336.0
